BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.49528,-2.09834,-2.02049,0.0596683,6.67397,0.198375,0.149602,288000,581
-2.45375,-2.11408,-2.0191,0.0502414,6.553,0.201003,0.148191,289000,584
-2.57236,-2.12383,-2.04486,0.0598982,6.73504,0.195688,0.146398,290000,587
-2.49919,-2.10373,-1.99503,0.0541128,6.68157,0.199308,0.149655,291000,591
-2.56678,-2.09755,-2.00663,0.0570606,6.67528,0.199286,0.149701,292000,593
-2.49899,-2.09848,-2.02995,0.0536006,6.6686,0.196588,0.150599,293000,596
-2.50338,-2.10052,-2.00143,0.0545295,6.56698,0.201462,0.148576,294000,599
-2.4959,-2.11499,-2.02601,0.0562741,6.57287,0.199536,0.14854,295000,602
-2.56492,-2.12829,-2.04523,0.0630784,6.6642,0.202472,0.147102,296000,604
-2.53964,-2.09644,-2.03482,0.0578472,6.81201,0.195446,0.146358,297000,607
-2.48025,-2.15381,-2.03573,0.059112,6.68618,0.199919,0.147868,298000,610
-2.56417,-2.13185,-2.01511,0.0583125,6.78933,0.201881,0.149423,299000,613
-2.6115,-2.16745,-2.03246,0.0588032,6.72662,0.195187,0.146401,300000,616
-2.57841,-2.14266,-2.02101,0.0604607,6.62354,0.195638,0.147007,301000,618
-2.57799,-2.12988,-2.05909,0.0623194,6.62707,0.196788,0.147408,302000,621
-2.5369,-2.14268,-2.03483,0.0576934,6.74141,0.20111,0.147361,303000,623
-2.51678,-2.13564,-2.03667,0.0615724,6.55314,0.198108,0.146353,304000,626
-2.4692,-2.10078,-2.01237,0.0522876,6.69473,0.198174,0.147432,305000,629
-2.58874,-2.1451,-2.01567,0.0591491,6.6612,0.199596,0.147293,306000,631
-2.51645,-2.1183,-2.01138,0.0563078,6.59308,0.196997,0.148103,307000,633
-2.5713,-2.10785,-2.00623,0.0589516,6.68489,0.199151,0.147077,308000,636
